HSBC,CLP,CK
64.333,32.167,55.75
62.667,31.667,54.75
62.833,31.833,54.25
64.667,31.917,57.25
68.333,32,61.5
68.667,32.583,61.25
68,32.667,60.75
68.667,33.167,61.25
66.167,31.917,58
67,31.417,57
65.333,31.25,57
67.333,31.25,59
67.667,30.833,59.25
68.333,30.5,58.5
66.667,29.833,56.25
65.667,29.583,54.75
64.167,29.083,53.5
64.167,29.583,54.25
65,30.167,55.5
62.833,29.25,53.5
64.333,29.333,53.75
65.667,29.417,54.25
64.333,29.25,53
64.333,29.25,51.5
64.667,30,51.5
63,29.833,49.8
62.667,30.167,49
62.833,30.75,49.4
61.833,30.083,47.9
62.167,29.583,49
64,30.5,50.5
64.5,30.167,51
64.5,30.167,51
64.5,30.167,51
64.5,30.167,51
66,29.583,49.4
65.333,29.667,49.6
68.667,30.083,50.5
70.333,30.333,51.75
71,30.167,51.25
72.667,30.417,52.75
74.333,29.583,54.5
73,30,53.5
73,30.167,53
73,30.083,52.75
76,30,53.75
75,30.333,54.25
77,31.583,55.75
79,31.75,57.25
78,31.333,56.75
79,31.583,57.5
79,31.583,59.75
79.333,31.417,60
80.333,30.917,60.75
78.333,30.083,59
81.333,31.667,61.25
80.667,31.583,62
80,31.25,61.75
77.667,30.333,59.5
79,30.75,59.25
80.333,30.25,57
80,30.583,56
81.333,31.083,58.75
81,31,59
82.667,31.25,60
82.667,31.25,60
82.667,31.25,60
82.667,31.25,60
87.667,31.417,63.5
89.667,30.833,64
90,31,66.25
88.667,30.75,64.75
90,30.75,65.5
89.333,31,64.75
90,30.833,64.75
92.333,31.417,67.25
93.333,32.25,69
92.333,31.75,66.75
92.667,32.333,68
94.667,32.917,69.5
94.333,32.5,67.75
94.667,33.583,69.5
96,34.917,70.75
95,34.5,69.75
96,34.75,69
96,34.667,70.5
95.333,34.083,70.25
97,34.333,71.75
94.667,34.917,72
94,34,71.5
90,32.333,69
90,33.25,70.5
90,33.5,69.25
89.667,34.5,69.5
90,34.5,70.25
88.667,33.083,68.75
86.667,33.25,67.75
86.667,32.667,66.75
85.667,32.25,64.5
85,32.75,63.75
85,32.167,62.5
86.333,32.083,63.75
85.333,31.667,63.75
85,31.75,64.5
86,31.333,64.75
84.667,31.167,63
86,31.25,63.75
88,31.083,64.5
89.667,31.083,64.75
89.667,30.917,64.25
89,30.917,63.5
92.333,31.5,64.75
92.667,31.167,64.75
92.333,31.083,65
92.333,30.917,64.5
94,31.25,64.5
95,31.083,63.75
94.667,30.917,63.5
95,31.5,64.75
97,31.417,66.25
97,31.417,66.25
100,32,71.5
98.667,31.75,71.75
98.667,31.917,70.75
97.667,32.417,70.5
97.333,31.917,71
96.333,31.583,71
95.333,31.583,71.5
94.333,31.417,69
94.333,31.417,69
99,31.75,72.5
101,31.583,74
100.5,31.833,72.25
101,31.417,71.75
100.5,31.5,72
99.75,31.75,72.25
99,31.5,71
99.25,31.167,70.5
96.25,31.167,70
96.5,31.75,70
96,31.167,68.5
95.75,30.917,68
95.5,31.083,70
93.5,30.917,68.75
94,30.833,68
92.25,30.417,66.25
90,30,65.25
91.25,29.667,67.25
91.25,29.5,68
90.5,29.5,67.75
91.5,29.333,68
94.25,29.333,69
94.5,29.417,69.25
97,29.583,69.25
94.75,29.5,67.5
93.75,29.5,67.25
91.25,29.333,67.25
89.75,28.833,65.75
88.75,28.333,64.25
91.25,28.417,65.5
91.25,28.667,63.25
92.75,29.333,63.75
93,29.417,63.75
93.75,29.917,65.5
95.75,30.083,67
96.25,30.5,68.75
96.25,30.5,69.5
96.75,30.167,69.75
